Name,Code,Type,Indicator Name,2016,2017,2018
Aruba,ABW,Country,Military expenditure (current USD),,,
Afghanistan,AFG,Country,Military expenditure (current USD),185878310,191407113,198086263
Angola,AGO,Country,Military expenditure (current USD),2764054937,3062872914,1983613748
Albania,ALB,Country,Military expenditure (current USD),130853163,144382689,180488725
Andorra,AND,Country,Military expenditure (current USD),,,
Arab World,ARB,Regions Clubbed Geographically,Military expenditure (current USD),112000000000,119000000000,113000000000
United Arab Emirates,ARE,Country,Military expenditure (current USD),,,
Argentina,ARG,Country,Military expenditure (current USD),4509647660,5459643672,4144991771
Armenia,ARM,Country,Military expenditure (current USD),431396219,443610413,608854650
American Samoa,ASM,Semi Autonomous Region,Military expenditure (current USD),,,
Antigua and Barbuda,ATG,Country,Military expenditure (current USD),,,
Australia,AUS,Country,Military expenditure (current USD),26382947050,27691112417,26711834225
Austria,AUT,Country,Military expenditure (current USD),2885947386,3138359204,3367460383
Azerbaijan,AZE,Country,Military expenditure (current USD),1396969108,1528859592,1708941176
Burundi,BDI,Country,Military expenditure (current USD),66462843,63908678,65436595
Belgium,BEL,Country,Military expenditure (current USD),4314102067,4484652582,4959692173
Benin,BEN,Country,Military expenditure (current USD),79581568,116142782,90212426
Burkina Faso,BFA,Country,Military expenditure (current USD),149467363,191065839,312467611
Bangladesh,BGD,Country,Military expenditure (current USD),3239738758,3594007980,3894695211
Bulgaria,BGR,Country,Military expenditure (current USD),755406458,824187017,1095591047
Bahrain,BHR,Country,Military expenditure (current USD),1505534574,1532712766,1396808511
Bahamas,BHS,Country,Military expenditure (current USD),,,
Bosnia and Herzegovina,BIH,Country,Military expenditure (current USD),157912011,164638050,221131597
Belarus,BLR,Country,Military expenditure (current USD),597207572,631145399,715166689
Belize,BLZ,Country,Military expenditure (current USD),21712888,23456750,23083113
Bermuda,BMU,Country,Military expenditure (current USD),,,
Bolivia,BOL,Country,Military expenditure (current USD),552381264,574070190,618842083
Brazil,BRA,Country,Military expenditure (current USD),24224746901,29283050314,27766427104
Barbados,BRB,Country,Military expenditure (current USD),,,
Brunei Darussalam,BRN,Country,Military expenditure (current USD),403366489,346706804,346588691
Bhutan,BTN,Country,Military expenditure (current USD),,,
Botswana,BWA,Country,Military expenditure (current USD),514463449,522430456,529481042
Central African Republic,CAF,Country,Military expenditure (current USD),26832999,27516264,30951301
Canada,CAN,Country,Military expenditure (current USD),17782775543,21343371455,21620598712
Central Europe and the Baltics,CEB,Regions Clubbed Geographically,Military expenditure (current USD),19501560114,22023783014,26681204886
Switzerland,CHE,Country,Military expenditure (current USD),4571348247,4628401509,4795847181
Channel Islands,CHI,Semi Autonomous Region,Military expenditure (current USD),,,
Chile,CHL,Country,Military expenditure (current USD),4796010962,5370018135,5570724563
China,CHN,Country,Military expenditure (current USD),216000000000,228000000000,250000000000
Cote d'Ivoire,CIV,Country,Military expenditure (current USD),602538731,501578732,607848218
Cameroon,CMR,Country,Military expenditure (current USD),387437831,408157575,429892181
"Congo, Dem. Rep.",COD,Country,Military expenditure (current USD),395733745,295236074,295348365
"Congo, Rep.",COG,Country,Military expenditure (current USD),501812145,371937055,292260465
Colombia,COL,Country,Military expenditure (current USD),8675980823,10018029818,10602860967
Comoros,COM,Country,Military expenditure (current USD),,,
Cabo Verde,CPV,Country,Military expenditure (current USD),10171217,9354384,10714071
Costa Rica,CRI,Country,Military expenditure (current USD),0,0,0
Caribbean small states,CSS,Regions Clubbed Geographically,Military expenditure (current USD),427200740,429494239,459997693
Cuba,CUB,Country,Military expenditure (current USD),123656388,122552919,
Curacao,CUW,Country,Military expenditure (current USD),,,
Cayman Islands,CYM,Semi Autonomous Region,Military expenditure (current USD),,,
Cyprus,CYP,Country,Military expenditure (current USD),295355010,357380921,381879773
Czech Republic,CZE,Country,Military expenditure (current USD),1954935000,2077722061,2710017583
Germany,DEU,Country,Military expenditure (current USD),41579494874,45381722042,49470627811
Djibouti,DJI,Country,Military expenditure (current USD),,,
Dominica,DMA,Country,Military expenditure (current USD),,,
Denmark,DNK,Country,Military expenditure (current USD),3592727944,3764033344,4228194254
Dominican Republic,DOM,Country,Military expenditure (current USD),479722173,533077263,602522387
Algeria,DZA,Country,Military expenditure (current USD),10217081700,10073364021,9583724288
East Asia & Pacific (excluding high income),EAP,Regions Clubbed Economically,Military expenditure (current USD),246000000000,258000000000,280000000000
Early-demographic dividend,EAR,Regions Clubbed Economically,Military expenditure (current USD),235000000000,254000000000,253000000000
East Asia & Pacific,EAS,Regions Clubbed Economically,Military expenditure (current USD),378000000000,393000000000,420000000000
Europe & Central Asia (excluding high income),ECA,Regions Clubbed Economically,Military expenditure (current USD),99303623795,98245283622,97497803031
Europe & Central Asia,ECS,Regions Clubbed Economically,Military expenditure (current USD),351000000000,362000000000,385000000000
Ecuador,ECU,Country,Military expenditure (current USD),2513200000,2462700000,2549400000
Egypt,EGY,Country,Military expenditure (current USD),4513022527,2765588434,3109997892
Euro area,EMU,Regions Clubbed Economically,Military expenditure (current USD),171000000000,183000000000,198000000000
Eritrea,ERI,Country,Military expenditure (current USD),,,
Spain,ESP,Country,Military expenditure (current USD),14014439635,16043533257,18248291491
Estonia,EST,Country,Military expenditure (current USD),497653404,537440227,618486125
Ethiopia,ETH,Country,Military expenditure (current USD),490177249,503158174,496621070
European Union,EUU,Regions Clubbed Geographically,Military expenditure (current USD),245000000000,257000000000,281000000000
Fragile and conflict affected situations,FCS,Regions Clubbed Economically,Military expenditure (current USD),17139676571,19451864579,15352665892
Finland,FIN,Country,Military expenditure (current USD),3415008250,3429968212,3849013845
Fiji,FJI,Country,Military expenditure (current USD),42649282,45705790,48412175
France,FRA,Country,Military expenditure (current USD),57358414419,60417498822,63799676593
Faroe Islands,FRO,Semi Autonomous Region,Military expenditure (current USD),,,
Micronesia,FSM,Country,Military expenditure (current USD),,,
Gabon,GAB,Country,Military expenditure (current USD),202815391,267430771,261217395
United Kingdom,GBR,Country,Military expenditure (current USD),48118943518,46433303401,49997192521
Georgia,GEO,Country,Military expenditure (current USD),315194446,308227184,316508368
Ghana,GHA,Country,Military expenditure (current USD),161751874,189129842,218444254
Gibraltar,GIB,Country,Military expenditure (current USD),,,
Guinea,GIN,Country,Military expenditure (current USD),161856745,199317873,209150578
Gambia,GMB,Country,Military expenditure (current USD),,,11487225
Guinea-Bissau,GNB,Country,Military expenditure (current USD),,,
Equatorial Guinea,GNQ,Country,Military expenditure (current USD),18233154,,
Greece,GRC,Country,Military expenditure (current USD),4963484464,5093788906,5227152013
Grenada,GRD,Country,Military expenditure (current USD),,,
Greenland,GRL,Country,Military expenditure (current USD),,,
Guatemala,GTM,Country,Military expenditure (current USD),290912704,275014799,278420892
Guam,GUM,Country,Military expenditure (current USD),,,
Guyana,GUY,Country,Military expenditure (current USD),51562131,59724939,59809427
High income,HIC,Regions Clubbed Economically,Military expenditure (current USD),1100000000000,1130000000000,1200000000000
Hong Kong,HKG,Semi Autonomous Region,Military expenditure (current USD),,,
Honduras,HND,Country,Military expenditure (current USD),363272339,398460128,410414895
Heavily indebted poor countries (HIPC),HPC,Regions Clubbed Economically,Military expenditure (current USD),9948137357,11747528682,9009353604
Croatia,HRV,Country,Military expenditure (current USD),702005706,784300763,889523365
Haiti,HTI,Country,Military expenditure (current USD),64514,73613,79691
Hungary,HUN,Country,Military expenditure (current USD),1288676093,1463013911,1642338440
IBRD only,IBD,Regions Clubbed Economically,Military expenditure (current USD),516000000000,546000000000,567000000000
IDA & IBRD total,IBT,Regions Clubbed Economically,Military expenditure (current USD),545000000000,579000000000,598000000000
IDA total,IDA,Regions Clubbed Economically,Military expenditure (current USD),29446536226,32865877910,30759077875
IDA blend,IDB,Regions Clubbed Economically,Military expenditure (current USD),14161500781,15484267604,15928906418
Indonesia,IDN,Country,Military expenditure (current USD),7385408685,8178144377,7437197348
IDA only,IDX,Regions Clubbed Economically,Military expenditure (current USD),15285035445,17381610306,14830171457
Isle of Man,IMN,Semi Autonomous Region,Military expenditure (current USD),,,
India,IND,Country,Military expenditure (current USD),56637622641,64559435281,66510289108
Not classified,INX,Regions Clubbed Economically,Military expenditure (current USD),,,
Ireland,IRL,Country,Military expenditure (current USD),1001610418,1025063447,1207582357
Iran,IRN,Country,Military expenditure (current USD),12263957415,13931196490,13194151137
Iraq,IRQ,Country,Military expenditure (current USD),5970383698,7416385135,6317977150
Iceland,ISL,Country,Military expenditure (current USD),0,0,0
Israel,ISR,Country,Military expenditure (current USD),14783814748,15581608422,15946788601
Italy,ITA,Country,Military expenditure (current USD),25033027895,26447892915,27807513898
Jamaica,JAM,Country,Military expenditure (current USD),137649062,143545555,207772686
Jordan,JOR,Country,Military expenditure (current USD),1768309859,1939718310,1957746479
Japan,JPN,Country,Military expenditure (current USD),46471287714,45387031802,46617954864
Kazakhstan,KAZ,Country,Military expenditure (current USD),1281103432,1390619095,1613589333
Kenya,KEN,Country,Military expenditure (current USD),933103003,1015384782,1097458153
Kyrgyz Republic,KGZ,Country,Military expenditure (current USD),115645312,121515805,121163620
Cambodia,KHM,Country,Military expenditure (current USD),382100547,463810835,543205183
Kiribati,KIR,Country,Military expenditure (current USD),,,
St. Kitts and Nevis,KNA,Country,Military expenditure (current USD),,,
South Korea,KOR,Country,Military expenditure (current USD),36885283430,39170682136,43069973343
Kuwait,KWT,Country,Military expenditure (current USD),6446742131,6764636914,7296266526
Latin America & Caribbean (excluding high income),LAC,Regions Clubbed Economically,Military expenditure (current USD),51394411288,58961249514,57275656953
Lao PDR,LAO,Country,Military expenditure (current USD),,,
Lebanon,LBN,Country,Military expenditure (current USD),2606456908,2441074857,2775557816
Liberia,LBR,Country,Military expenditure (current USD),14712000,15334000,15786500
Libya,LBY,Country,Military expenditure (current USD),,,
St. Lucia,LCA,Country,Military expenditure (current USD),,,
Latin America & Caribbean,LCN,Regions Clubbed Geographically,Military expenditure (current USD),57394922539,65699744992,64183844798
Least developed countries: UN classification,LDC,Regions Clubbed Economically,Military expenditure (current USD),16643525773,19055527699,15271776785
Low income,LIC,Regions Clubbed Economically,Military expenditure (current USD),4245294990,4462964171,4816432270
Liechtenstein,LIE,Country,Military expenditure (current USD),,,
Sri Lanka,LKA,Country,Military expenditure (current USD),1741456650,1866534439,1681433577
Lower middle income,LMC,Regions Clubbed Economically,Military expenditure (current USD),114000000000,125000000000,124000000000
